fmt,search_name,date,adp
2qb,ATL,2026-08-27,151.1
2qb,BAL,2026-08-27,154.8
2qb,BUF,2026-08-27,159.8
2qb,CHI,2026-08-27,152.8
2qb,CLE,2026-08-27,156.9
2qb,DAL,2026-08-27,149.8
2qb,DEN,2026-08-27,107.8
2qb,DET,2026-08-27,138.6
2qb,GB,2026-08-27,152.0
2qb,HOU,2026-08-27,117.3
2qb,JAX,2026-08-27,155.1
2qb,LA,2026-08-27,129.8
2qb,LAC,2026-08-27,144.2
2qb,MIN,2026-08-27,129.2
2qb,NE,2026-08-27,138.5
2qb,NO,2026-08-27,166.8
2qb,PHI,2026-08-27,139.0
2qb,PIT,2026-08-27,141.7
2qb,SEA,2026-08-27,107.5
2qb,SF,2026-08-27,129.9
2qb,TEN,2026-08-27,150.4
2qb,aaronjones,2026-08-27,123.6
2qb,aaronrodgers,2026-08-27,113.5
2qb,adonaimitchell,2026-08-27,169.9
2qb,ajbarner,2026-08-27,136.0
2qb,ajbrown,2026-08-27,34.8
2qb,alecpierce,2026-08-27,70.5
2qb,alvinkamara,2026-08-27,150.8
2qb,amonrastbrown,2026-08-27,13.5
2qb,andyborregales,2026-08-27,145.8
2qb,antoniowilliams,2026-08-27,161.2
2qb,ashtonjeanty,2026-08-27,30.1
2qb,bakermayfield,2026-08-27,42.1
2qb,bhayshultuten,2026-08-27,66.6
2qb,bijanrobinson,2026-08-27,2.6
2qb,blakecorum,2026-08-27,122.9
2qb,blakegrupe,2026-08-27,159.6
2qb,bonix,2026-08-27,30.6
2qb,braelonallen,2026-08-27,143.4
2qb,brandonaubrey,2026-08-27,127.7
2qb,breecehall,2026-08-27,48.7
2qb,brentonstrange,2026-08-27,139.2
2qb,brianrobinson,2026-08-27,160.8
2qb,brianthomas,2026-08-27,89.3
2qb,brockbowers,2026-08-27,60.9
2qb,brockpurdy,2026-08-27,19.2
2qb,bryceyoung,2026-08-27,89.9
2qb,buckyirving,2026-08-27,64.6
2qb,cairosantos,2026-08-27,152.6
2qb,calebwilliams,2026-08-27,21.9
2qb,calvinridley,2026-08-27,138.8
2qb,camerondicker,2026-08-27,139.3
2qb,camlittle,2026-08-27,152.0
2qb,camskattebo,2026-08-27,52.4
2qb,camward,2026-08-27,99.8
2qb,carnelltate,2026-08-27,92.1
2qb,carsonbeck,2026-08-27,142.7
2qb,ceedeelamb,2026-08-27,25.1
2qb,chasebrown,2026-08-27,30.4
2qb,chasemclaughlin,2026-08-27,150.2
2qb,chigokonkwo,2026-08-27,143.8
2qb,chimeredike,2026-08-27,123.5
2qb,chrisboswell,2026-08-27,149.2
2qb,chrisgodwin,2026-08-27,101.2
2qb,chrisolave,2026-08-27,41.6
2qb,chrisrodriguez,2026-08-27,152.3
2qb,christianmccaffrey,2026-08-27,10.1
2qb,christianwatson,2026-08-27,74.7
2qb,chubahubbard,2026-08-27,97.2
2qb,cjstroud,2026-08-27,73.2
2qb,colstonloveland,2026-08-27,82.2
2qb,cooperkupp,2026-08-27,164.7
2qb,courtlandsutton,2026-08-27,79.5
2qb,dakprescott,2026-08-27,13.6
2qb,dallasgoedert,2026-08-27,112.8
2qb,daltonkincaid,2026-08-27,143.1
2qb,dandreswift,2026-08-27,58.7
2qb,danieljones,2026-08-27,74.0
2qb,davanteadams,2026-08-27,51.8
2qb,davidmontgomery,2026-08-27,73.1
2qb,deebosamuel,2026-08-27,116.0
2qb,denzelboston,2026-08-27,158.4
2qb,derrickhenry,2026-08-27,10.6
2qb,deshaunwatson,2026-08-27,138.7
2qb,devonachane,2026-08-27,21.0
2qb,devontasmith,2026-08-27,55.7
2qb,dezhaunstribling,2026-08-27,135.0
2qb,djmoore,2026-08-27,68.8
2qb,dkmetcalf,2026-08-27,82.3
2qb,dontayvionwicks,2026-08-27,157.8
2qb,drakelondon,2026-08-27,24.2
2qb,drakemaye,2026-08-27,7.1
2qb,eddypineiro,2026-08-27,154.8
2qb,emekaegbuka,2026-08-27,50.3
2qb,evanmcpherson,2026-08-27,153.9
2qb,fernandomendoza,2026-08-27,131.9
2qb,garrettwilson,2026-08-27,59.1
2qb,genosmith,2026-08-27,120.1
2qb,georgekittle,2026-08-27,129.4
2qb,georgepickens,2026-08-27,33.3
2qb,germiebernard,2026-08-27,147.0
2qb,haroldfannin,2026-08-27,106.8
2qb,harrisonbutker,2026-08-27,158.9
2qb,harrisonmevis,2026-08-27,145.4
2qb,hunterhenry,2026-08-27,149.3
2qb,isaacteslaa,2026-08-27,160.3
2qb,isaiahlikely,2026-08-27,140.3
2qb,isiahpacheco,2026-08-27,146.8
2qb,jacobybrissett,2026-08-27,110.1
2qb,jacorycroskeymerritt,2026-08-27,107.8
2qb,jadarianprice,2026-08-27,86.0
2qb,jahmyrgibbs,2026-08-27,1.8
2qb,jakebates,2026-08-27,145.3
2qb,jakeelliott,2026-08-27,159.5
2qb,jakeferguson,2026-08-27,140.0
2qb,jakobilane,2026-08-27,155.2
2qb,jakobimeyers,2026-08-27,102.4
2qb,jalencoker,2026-08-27,137.8
2qb,jalenhurts,2026-08-27,17.2
2qb,jalenmcmillan,2026-08-27,147.8
2qb,jalennailor,2026-08-27,154.3
2qb,jamarrchase,2026-08-27,6.6
2qb,jamescook,2026-08-27,15.8
2qb,jamesonwilliams,2026-08-27,52.5
2qb,jaredgoff,2026-08-27,24.8
2qb,jasonmyers,2026-08-27,133.2
2qb,jauanjennings,2026-08-27,155.2
2qb,javontewilliams,2026-08-27,46.4
2qb,jaxonsmithnjigba,2026-08-27,8.4
2qb,jaxsondart,2026-08-27,30.8
2qb,jaydendaniels,2026-08-27,13.9
2qb,jaydenhiggins,2026-08-27,136.1
2qb,jaydenreed,2026-08-27,104.6
2qb,jaylenwaddle,2026-08-27,73.1
2qb,jaylenwarren,2026-08-27,93.4
2qb,jeremiyahlove,2026-08-27,48.8
2qb,jerryjeudy,2026-08-27,141.8
2qb,jjmccarthy,2026-08-27,146.2
2qb,jkdobbins,2026-08-27,95.1
2qb,joeburrow,2026-08-27,9.2
2qb,johnmetchie,2026-08-27,144.7
2qb,jonahcoleman,2026-08-27,140.8
2qb,jonathantaylor,2026-08-27,5.5
2qb,jonathonbrooks,2026-08-27,117.7
2qb,jordanaddison,2026-08-27,100.8
2qb,jordanlove,2026-08-27,59.3
2qb,jordanmason,2026-08-27,120.8
2qb,jordyntyson,2026-08-27,115.3
2qb,joshallen,2026-08-27,1.7
2qb,joshdowns,2026-08-27,120.7
2qb,joshjacobs,2026-08-27,34.7
2qb,justinherbert,2026-08-27,25.9
2qb,justinjefferson,2026-08-27,28.3
2qb,juwanjohnson,2026-08-27,145.5
2qb,kaelonblack,2026-08-27,133.6
2qb,kaimifairbairn,2026-08-27,135.9
2qb,kayshonboutte,2026-08-27,165.3
2qb,kaytronallen,2026-08-27,168.6
2qb,kcconcepcion,2026-08-27,136.2
2qb,keatonmitchell,2026-08-27,141.4
2qb,keenanallen,2026-08-27,157.6
2qb,kennethwalker,2026-08-27,38.5
2qb,kennygainwell,2026-08-27,130.9
2qb,kenyonsadiq,2026-08-27,136.4
2qb,khalilshakir,2026-08-27,135.1
2qb,kirkcousins,2026-08-27,144.5
2qb,kylemonangai,2026-08-27,113.0
2qb,kylepitts,2026-08-27,111.6
2qb,kylermurray,2026-08-27,52.9
2qb,kyrenwilliams,2026-08-27,40.1
2qb,laddmcconkey,2026-08-27,66.3
2qb,lamarjackson,2026-08-27,8.3
2qb,lutherburden,2026-08-27,79.7
2qb,makailemon,2026-08-27,119.8
2qb,malachifields,2026-08-27,162.9
2qb,maliknabers,2026-08-27,47.6
2qb,malikwashington,2026-08-27,165.4
2qb,malikwillis,2026-08-27,82.5
2qb,markandrews,2026-08-27,124.6
2qb,marshawnlloyd,2026-08-27,164.1
2qb,marvinharrison,2026-08-27,84.7
2qb,matthewgolden,2026-08-27,122.2
2qb,matthewstafford,2026-08-27,17.2
2qb,michaelpenix,2026-08-27,144.5
2qb,michaelpittman,2026-08-27,108.6
2qb,michaelwilson,2026-08-27,99.7
2qb,mikeevans,2026-08-27,75.8
2qb,mikewashington,2026-08-27,149.1
2qb,nickfolk,2026-08-27,157.5
2qb,nicocollins,2026-08-27,36.1
2qb,omarcooper,2026-08-27,167.2
2qb,omarionhampton,2026-08-27,38.9
2qb,orondegadsden,2026-08-27,134.8
2qb,parkerwashington,2026-08-27,85.9
2qb,patfreiermuth,2026-08-27,134.0
2qb,patrickmahomes,2026-08-27,24.0
2qb,pukanacua,2026-08-27,4.7
2qb,quentinjohnston,2026-08-27,95.1
2qb,quinshonjudkins,2026-08-27,67.0
2qb,rachaadwhite,2026-08-27,128.3
2qb,rasheerice,2026-08-27,29.7
2qb,rashidshaheed,2026-08-27,129.7
2qb,rashodbateman,2026-08-27,144.1
2qb,rhamondrestevenson,2026-08-27,88.9
2qb,rickypearsall,2026-08-27,125.5
2qb,ricodowdle,2026-08-27,91.0
2qb,rjharvey,2026-08-27,117.5
2qb,romeodoubs,2026-08-27,125.0
2qb,romeodunze,2026-08-27,61.5
2qb,samdarnold,2026-08-27,57.9
2qb,samlaporta,2026-08-27,115.4
2qb,saquonbarkley,2026-08-27,24.9
2qb,shedeursanders,2026-08-27,139.5
2qb,stefondiggs,2026-08-27,115.9
2qb,tankbigsby,2026-08-27,154.0
2qb,tankdell,2026-08-27,161.1
2qb,teehiggins,2026-08-27,51.7
2qb,terrymclaurin,2026-08-27,64.2
2qb,tetairoamcmillan,2026-08-27,52.7
2qb,theowease,2026-08-27,143.7
2qb,tonypollard,2026-08-27,82.9
2qb,travisetienne,2026-08-27,57.7
2qb,travishunter,2026-08-27,152.8
2qb,traviskelce,2026-08-27,138.9
2qb,treharris,2026-08-27,160.2
2qb,tretucker,2026-08-27,139.5
2qb,treveyonhenderson,2026-08-27,74.9
2qb,trevorlawrence,2026-08-27,19.6
2qb,treymcbride,2026-08-27,64.6
2qb,treysmack,2026-08-27,162.3
2qb,tuatagovailoa,2026-08-27,136.7
2qb,tuckerkraft,2026-08-27,101.4
2qb,tyjaespears,2026-08-27,146.2
2qb,tylerallgeier,2026-08-27,155.8
2qb,tylerbass,2026-08-27,158.2
2qb,tylerloop,2026-08-27,151.4
2qb,tylershough,2026-08-27,48.8
2qb,tylerwarren,2026-08-27,90.0
2qb,tyronetracy,2026-08-27,157.3
2qb,wandalerobinson,2026-08-27,122.6
2qb,willreichard,2026-08-27,154.7
2qb,willutz,2026-08-27,161.6
2qb,woodymarks,2026-08-27,151.3
2qb,xavierworthy,2026-08-27,107.1
2qb,zachcharbonnet,2026-08-27,140.6
2qb,zayflowers,2026-08-27,41.7
half-ppr,ATL,2026-08-27,181.7
half-ppr,BAL,2026-08-27,166.8
half-ppr,BUF,2026-08-27,164.6
half-ppr,CHI,2026-08-27,178.2
half-ppr,CIN,2026-08-27,180.2
half-ppr,CLE,2026-08-27,161.1
half-ppr,DAL,2026-08-27,159.4
half-ppr,DEN,2026-08-27,92.1
half-ppr,DET,2026-08-27,125.6
half-ppr,HOU,2026-08-27,98.9
half-ppr,JAX,2026-08-27,160.6
half-ppr,LA,2026-08-27,112.3
half-ppr,LAC,2026-08-27,140.5
half-ppr,MIN,2026-08-27,111.2
half-ppr,NE,2026-08-27,130.9
half-ppr,NO,2026-08-27,176.1
half-ppr,PHI,2026-08-27,140.0
half-ppr,PIT,2026-08-27,135.5
half-ppr,SEA,2026-08-27,80.8
half-ppr,TEN,2026-08-27,173.6
half-ppr,aaronjones,2026-08-27,109.4
half-ppr,adonaimitchell,2026-08-27,161.3
half-ppr,ajbrown,2026-08-27,19.6
half-ppr,alecpierce,2026-08-27,62.1
half-ppr,alvinkamara,2026-08-27,157.4
half-ppr,amonrastbrown,2026-08-27,8.0
half-ppr,andyborregales,2026-08-27,172.8
half-ppr,ashtonjeanty,2026-08-27,20.6
half-ppr,bakermayfield,2026-08-27,134.0
half-ppr,bhayshultuten,2026-08-27,52.6
half-ppr,bijanrobinson,2026-08-27,2.3
half-ppr,blakecorum,2026-08-27,121.9
half-ppr,blakegrupe,2026-08-27,158.4
half-ppr,bonix,2026-08-27,112.5
half-ppr,braelonallen,2026-08-27,162.3
half-ppr,brandonaubrey,2026-08-27,133.3
half-ppr,breecehall,2026-08-27,33.1
half-ppr,brentonstrange,2026-08-27,173.0
half-ppr,brianrobinson,2026-08-27,164.1
half-ppr,brianthomas,2026-08-27,70.0
half-ppr,brockbowers,2026-08-27,43.5
half-ppr,brockpurdy,2026-08-27,90.3
half-ppr,buckyirving,2026-08-27,47.7
half-ppr,cairosantos,2026-08-27,174.4
half-ppr,calebdouglas,2026-08-27,173.9
half-ppr,calebwilliams,2026-08-27,92.2
half-ppr,calvinridley,2026-08-27,137.0
half-ppr,camerondicker,2026-08-27,145.3
